Date,Description,Category,Amount
2023-01-15 11:24:18,Transaction 31,Auto Loan,-$690.22
2023-01-23 14:17:48,Transaction 32,Cable TV,-$256.72
2023-01-10 10:43:51,Transaction 33,Daycare,-$201.22
2023-01-16 12:21:52,Transaction 34,Dental Care,-$284.69
2023-01-31 14:53:09,Transaction 35,Entertainment,-$268.39
2023-01-19 09:27:53,Transaction 36,Groceries,-$109.71
2023-01-16 15:35:58,Transaction 37,Income,"$2,500.00"
2023-01-11 19:46:39,Transaction 38,Entertainment,-$154.59
2023-01-13 12:10:54,Transaction 39,Groceries,-$19.38
2023-01-15 15:05:50,Transaction 10,Coffee Shops,-$79.38
2023-01-15 11:24:18,Transaction 11,Auto Loan,-$690.22
2023-01-23 14:17:48,Transaction 12,Cable TV,-$256.72
2023-01-10 10:43:51,Transaction 13,Daycare,-$201.22
2023-01-16 12:21:52,Transaction 14,Dental Care,-$284.69
2023-01-31 14:53:09,Transaction 15,Entertainment,-$268.39
2023-01-19 09:27:53,Transaction 16,Groceries,-$109.71
2023-01-16 15:35:58,Transaction 17,Income,"$2,500.00"
2023-01-11 19:46:39,Transaction 18,Entertainment,-$154.59
2023-01-13 12:10:54,Transaction 19,Groceries,-$19.38
2023-01-15 15:05:50,Transaction 20,Coffee Shops,-$79.38